date,PM2.5,PM10,NO2,SO2,CO,O3,AQI
2023-03-22,74.51,136.05,40.01,27.01,1.52,30.13,97.54
2023-03-23,88.93,136.03,49.02,16.4,0.85,52.72,88.12
2023-03-24,116.95,137.13,18.34,2.0,2.04,51.69,116.5
2023-03-25,67.04,233.07,5.56,3.83,0.24,28.61,82.25
2023-03-26,59.79,165.28,31.74,13.14,1.86,69.13,88.78
2023-03-27,67.46,167.2,21.69,18.1,1.09,96.49,85.52
2023-03-28,102.89,191.21,32.38,14.43,1.63,49.66,104.0
2023-03-29,88.22,159.55,37.78,27.19,1.24,60.1,78.27
2023-03-30,66.76,139.64,33.2,2.0,1.77,51.69,86.14
2023-03-31,92.83,142.15,61.79,16.44,1.01,35.73,87.58
2023-04-01,82.43,147.14,44.9,2.0,0.65,13.58,82.99
2023-04-02,104.22,148.51,44.51,22.6,1.91,35.88,102.39
2023-04-03,62.45,179.11,49.33,14.06,1.14,22.16,79.57
2023-04-04,71.81,152.08,22.92,19.2,1.31,84.08,79.4
2023-04-05,70.2,179.31,55.59,6.36,1.82,47.7,95.87
2023-04-06,43.41,146.77,38.86,27.79,0.68,43.08,72.68
2023-04-07,87.4,153.15,50.06,25.42,1.5,67.78,85.58
2023-04-08,86.53,70.07,23.92,20.84,0.91,27.56,66.12
2023-04-09,80.13,186.65,16.69,13.7,1.13,34.66,90.61
2023-04-10,74.14,163.86,52.27,20.8,1.24,51.36,81.58
2023-04-11,44.62,189.92,45.65,7.93,0.45,70.58,70.0
2023-04-12,69.48,34.15,26.47,23.56,0.81,60.03,57.87
2023-04-13,71.43,233.53,26.96,31.49,1.88,54.97,95.22
2023-04-14,59.94,144.42,56.88,25.71,1.64,51.56,87.5
2023-04-15,75.97,194.33,22.16,7.7,1.17,58.0,83.29
2023-04-16,90.1,108.4,64.64,18.61,1.32,54.03,97.07
2023-04-17,127.15,174.51,26.49,2.07,1.05,29.4,126.83
2023-04-18,84.36,107.86,49.58,20.72,1.88,50.92,79.13
2023-04-19,86.44,125.05,35.07,19.51,1.1,28.53,84.69
2023-04-20,78.14,226.56,49.05,2.0,1.32,51.62,95.21
2023-04-21,32.03,142.37,31.84,3.38,1.77,40.39,78.84
2023-04-22,79.34,158.7,37.56,12.17,0.81,100.79,78.42
2023-04-23,81.51,184.8,40.61,11.99,1.98,49.2,106.2
2023-04-24,141.58,169.83,24.97,2.91,0.43,21.92,92.14
2023-04-25,75.19,156.02,51.11,18.89,2.01,47.32,92.51
2023-04-26,87.54,164.6,32.3,17.51,1.01,60.39,80.93
2023-04-27,79.13,246.14,36.57,13.06,1.08,83.47,116.72
2023-04-28,50.78,147.7,25.08,7.44,0.25,38.21,52.64
2023-04-29,108.57,158.04,5.0,25.49,0.97,18.35,94.81
2023-04-30,98.8,192.03,37.13,31.55,0.68,66.34,96.53
2023-05-01,99.78,194.22,76.19,10.16,0.9,22.39,98.06
2023-05-02,57.27,197.48,51.77,8.88,1.13,41.28,87.01
2023-05-03,115.07,175.55,39.71,19.91,1.68,44.85,102.0
2023-05-04,44.95,104.28,36.06,11.42,1.3,48.61,65.45
2023-05-05,94.67,215.34,40.34,13.61,1.35,63.78,124.06
2023-05-06,134.76,104.15,48.21,22.4,0.65,36.33,84.86
2023-05-07,55.24,162.11,22.29,2.0,0.76,44.53,82.84
2023-05-08,65.84,119.83,56.71,28.18,2.1,49.71,100.82
2023-05-09,82.49,147.43,50.73,15.73,0.83,52.99,76.45
2023-05-10,67.41,163.15,50.77,10.89,2.03,51.96,78.74
2023-05-11,41.23,162.85,46.58,14.11,1.08,58.72,77.04
2023-05-12,81.71,166.88,40.29,14.62,1.2,66.88,87.39
2023-05-13,53.44,214.55,50.09,2.0,1.74,57.85,114.11
2023-05-14,91.84,168.14,48.88,29.95,1.84,59.07,104.32
2023-05-15,57.01,140.23,34.69,15.41,1.14,18.36,61.27
2023-05-16,118.75,188.56,31.4,19.43,1.01,51.0,95.56
2023-05-17,60.42,197.58,41.53,24.52,1.17,59.59,100.62
2023-05-18,71.95,100.9,63.24,4.79,1.37,64.58,73.19
2023-05-19,100.34,173.9,21.41,19.73,1.65,36.15,100.36
2023-05-20,49.23,178.05,17.99,12.32,1.2,36.82,84.82
2023-05-21,85.69,138.1,42.47,23.47,1.51,38.52,83.34
2023-05-22,112.68,205.03,40.76,2.0,2.02,60.73,119.1
2023-05-23,39.81,144.0,42.6,14.01,1.39,70.68,74.03
2023-05-24,84.62,155.02,43.66,8.97,1.36,41.85,96.33
2023-05-25,86.5,143.08,36.65,19.32,0.44,68.16,88.38
2023-05-26,99.55,150.62,62.35,19.7,0.2,52.47,84.83
2023-05-27,49.08,106.15,15.99,7.92,1.39,47.51,64.56
2023-05-28,46.99,92.4,27.57,7.88,1.15,45.77,55.1
2023-05-29,93.05,213.78,38.45,13.89,0.94,64.93,88.91
2023-05-30,87.42,116.12,15.35,6.03,1.32,56.51,84.3
2023-05-31,86.26,110.34,37.36,23.42,1.17,95.52,106.43
2023-06-01,88.66,63.86,64.92,11.31,1.76,32.96,69.04
2023-06-02,63.0,124.44,40.31,2.0,1.24,60.36,67.97
2023-06-03,85.81,97.08,43.46,11.25,0.83,39.42,64.12
2023-06-04,87.33,215.68,21.1,4.61,1.7,32.61,109.5
2023-06-05,62.14,190.39,30.75,2.0,1.09,49.78,88.98
2023-06-06,126.64,122.47,34.37,2.63,1.46,52.75,99.68
2023-06-07,91.85,240.1,35.23,16.09,0.96,108.36,105.77
2023-06-08,50.22,189.27,59.22,28.29,0.88,46.32,81.9
2023-06-09,96.41,137.01,48.37,18.13,1.24,27.4,72.59
2023-06-10,55.63,50.02,23.33,8.93,1.21,55.46,56.85
2023-06-11,99.68,241.64,43.7,19.56,1.44,10.0,118.16
2023-06-12,108.96,94.42,47.47,10.41,1.07,48.16,73.11
2023-06-13,59.48,84.18,57.1,8.05,0.28,50.32,41.78
2023-06-14,104.08,190.9,63.71,3.46,0.98,65.89,121.87
2023-06-15,90.32,247.59,24.77,2.0,1.6,69.47,108.5
2023-06-16,100.55,205.37,27.84,11.1,1.05,39.93,112.5
2023-06-17,127.42,172.56,21.14,16.58,1.08,46.99,104.7
2023-06-18,73.87,173.79,36.49,14.03,1.69,34.68,89.17
2023-06-19,61.16,184.14,47.0,10.84,0.84,27.44,83.47
2023-06-20,57.76,180.36,54.81,5.54,0.43,56.2,68.81
2023-06-21,59.6,161.25,38.86,21.08,1.12,24.53,77.23
2023-06-22,78.07,154.17,35.2,2.0,0.96,41.71,77.7
2023-06-23,88.53,147.5,42.28,22.76,0.72,30.1,68.75
2023-06-24,86.92,119.84,27.47,4.98,1.11,60.99,85.38
2023-06-25,100.68,138.77,71.34,7.48,1.45,86.03,100.26
2023-06-26,80.33,82.28,15.89,2.0,1.2,23.97,64.25
2023-06-27,116.34,146.07,42.77,9.99,1.35,12.94,83.9
2023-06-28,73.38,110.46,70.35,24.75,2.11,47.5,103.82
2023-06-29,148.0,105.86,40.1,20.16,1.03,50.31,111.99
2023-06-30,95.64,157.2,37.15,24.78,1.34,54.37,105.84
2023-07-01,58.57,205.68,34.64,20.22,0.95,41.07,81.6
2023-07-02,53.23,186.73,37.29,3.96,0.78,45.99,59.94
2023-07-03,92.06,87.18,60.59,11.69,0.91,57.35,98.11
2023-07-04,74.41,110.41,6.82,7.2,0.96,70.81,72.51
2023-07-05,97.85,187.63,63.0,28.31,1.38,10.9,92.33
2023-07-06,91.83,110.7,18.64,3.03,2.37,42.62,95.19
2023-07-07,78.18,141.01,36.0,23.94,0.84,54.28,92.5
2023-07-08,58.83,172.0,33.56,23.93,0.99,31.64,76.92
2023-07-09,42.13,111.27,48.83,33.3,1.17,84.62,82.82
2023-07-10,68.84,154.22,16.03,10.9,1.4,37.29,90.93
2023-07-11,101.41,96.64,46.93,22.12,1.33,49.17,75.62
2023-07-12,85.35,125.95,70.36,37.82,1.84,61.12,89.11
2023-07-13,48.86,162.79,19.55,8.82,0.2,38.17,71.8
2023-07-14,84.33,86.28,42.85,2.0,0.2,13.07,32.21
2023-07-15,89.63,167.62,30.07,2.0,0.95,41.43,86.72
2023-07-16,57.9,149.21,46.39,22.13,1.75,70.59,72.52
2023-07-17,83.84,172.1,40.29,2.0,0.42,43.26,77.98
2023-07-18,81.46,158.96,30.38,11.28,0.2,33.07,71.95
2023-07-19,51.43,204.57,47.32,19.37,1.49,68.51,88.73
2023-07-20,88.94,155.01,67.07,16.85,1.32,43.38,88.33
2023-07-21,94.02,132.82,37.14,19.25,0.65,39.8,70.4
2023-07-22,107.08,154.89,50.8,17.22,0.71,52.99,117.69
2023-07-23,106.35,171.73,20.6,27.79,0.72,65.42,115.97
2023-07-24,45.56,151.95,25.65,5.48,1.26,97.63,67.03
2023-07-25,56.55,151.62,47.09,8.23,0.89,66.54,92.74
2023-07-26,92.88,121.92,62.26,7.27,1.45,73.2,89.58
2023-07-27,92.84,123.48,45.33,23.3,0.2,39.88,76.81
2023-07-28,92.88,93.9,35.3,24.0,0.77,29.48,72.17
2023-07-29,176.32,219.98,39.99,19.51,0.64,51.25,126.96
2023-07-30,94.27,100.25,21.24,26.83,1.07,52.14,89.6
2023-07-31,108.39,122.28,49.07,3.22,0.93,28.43,87.71
2023-08-01,103.85,121.26,53.23,31.67,1.6,46.49,90.9
2023-08-02,96.28,185.8,33.22,30.23,0.27,57.99,78.86
2023-08-03,72.12,138.2,32.95,22.36,1.22,57.21,72.77
2023-08-04,98.97,199.91,43.99,32.82,1.48,60.09,93.0
2023-08-05,60.68,123.06,33.45,2.0,2.13,55.82,82.11
2023-08-06,74.08,161.16,39.01,9.76,0.96,39.86,69.86
2023-08-07,67.87,116.59,71.5,7.65,1.36,39.72,74.92
2023-08-08,82.05,235.81,36.29,22.21,0.3,26.02,105.3
2023-08-09,137.87,102.5,34.62,4.5,0.2,85.7,106.18
2023-08-10,33.32,162.39,30.29,22.57,1.62,50.27,73.4
2023-08-11,97.16,175.35,51.16,28.71,1.2,45.5,98.41
2023-08-12,39.68,166.55,37.28,21.95,1.79,31.42,95.41
2023-08-13,68.2,142.59,30.26,17.84,0.51,108.71,86.36
2023-08-14,107.22,144.81,59.82,5.12,1.46,28.53,93.69
2023-08-15,81.61,151.75,61.29,6.53,2.13,41.42,82.75
2023-08-16,53.06,144.12,30.99,27.5,1.41,58.32,81.31
2023-08-17,62.12,188.56,12.0,22.79,1.34,62.0,95.87
2023-08-18,96.99,238.42,55.11,14.61,1.2,69.16,108.82
2023-08-19,61.74,127.7,29.73,10.82,0.41,86.15,73.73
2023-08-20,85.41,95.21,51.86,2.0,1.88,60.12,82.65
2023-08-21,81.14,146.47,10.45,4.29,0.89,28.88,74.45
2023-08-22,63.71,253.19,53.39,34.11,1.45,44.86,79.54
2023-08-23,133.6,117.85,21.83,2.2,0.42,56.16,89.69
2023-08-24,95.85,215.56,50.96,16.89,0.61,91.36,116.89
2023-08-25,29.37,217.11,40.21,25.07,1.92,22.04,76.61
2023-08-26,84.66,127.86,25.69,2.45,1.03,74.05,84.02
2023-08-27,63.46,172.76,33.89,16.85,1.93,53.6,83.91
2023-08-28,101.31,215.14,50.29,24.38,1.16,66.76,115.03
2023-08-29,60.19,134.83,41.59,15.12,0.28,47.96,63.78
2023-08-30,77.13,141.86,48.77,43.68,1.65,33.15,78.33
2023-08-31,92.62,126.73,69.65,2.0,0.91,65.02,101.59
2023-09-01,101.64,109.41,16.54,25.59,1.55,63.09,99.72
2023-09-02,49.99,124.03,64.26,13.27,1.21,69.44,68.39
2023-09-03,71.64,101.04,41.57,22.72,0.43,49.73,70.88
2023-09-04,68.13,151.36,26.52,19.41,1.28,38.0,85.04
2023-09-05,63.67,119.2,20.05,7.67,2.3,18.82,83.92
2023-09-06,124.14,159.35,37.16,17.29,1.45,66.39,93.59
2023-09-07,90.12,87.76,53.82,2.0,1.17,58.48,89.64
2023-09-08,48.48,163.24,38.09,21.03,1.74,30.68,73.18
2023-09-09,102.95,183.34,62.67,17.98,1.31,39.23,100.37
2023-09-10,133.05,70.25,18.23,21.39,1.3,40.66,115.69
2023-09-11,105.81,164.96,39.82,25.58,0.65,20.34,93.19
2023-09-12,42.02,199.11,21.21,18.68,1.32,33.65,74.04
2023-09-13,67.89,101.61,45.45,16.48,1.72,27.32,52.07
2023-09-14,111.67,216.9,53.3,6.19,0.78,41.75,121.67
2023-09-15,62.31,166.76,33.69,7.88,1.91,35.23,72.99
2023-09-16,91.1,121.8,5.0,26.87,1.15,17.46,66.77
2023-09-17,99.37,147.77,42.98,29.36,0.76,90.45,92.88
2023-09-18,56.83,172.33,46.55,12.62,1.7,75.05,104.89
2023-09-19,78.51,153.04,46.06,15.46,1.06,34.42,90.85
2023-09-20,10.0,171.55,58.54,5.95,1.58,55.45,67.0
2023-09-21,54.39,113.17,23.93,26.73,1.05,58.35,70.5
2023-09-22,73.69,156.77,50.2,21.65,1.17,73.82,83.7
2023-09-23,48.81,93.45,57.89,34.41,1.45,33.63,66.63
2023-09-24,120.81,145.55,13.32,6.22,1.35,71.84,104.04
2023-09-25,44.25,113.84,44.79,11.22,0.2,39.04,63.07
2023-09-26,69.0,120.58,32.44,17.31,0.64,23.28,75.38
2023-09-27,83.27,199.44,38.78,21.46,1.66,64.48,109.41
2023-09-28,116.03,193.65,45.22,12.84,1.13,75.82,109.4
2023-09-29,44.1,174.37,32.69,6.27,0.94,101.76,88.16
2023-09-30,109.08,106.31,29.86,23.81,0.52,26.01,77.26
2023-10-01,80.26,137.34,40.51,22.21,0.66,63.98,70.11
2023-10-02,55.46,198.52,23.69,5.84,0.2,41.8,68.79
2023-10-03,91.55,155.67,23.71,28.55,1.15,65.67,93.74
2023-10-04,84.98,242.77,50.19,26.7,0.9,20.59,110.1
2023-10-05,64.99,165.73,22.77,16.34,0.72,24.74,71.28
2023-10-06,81.75,157.68,49.99,15.8,1.17,34.48,74.76
2023-10-07,70.37,137.64,46.94,20.54,1.38,51.58,83.52
2023-10-08,82.84,155.34,14.11,6.38,2.25,37.18,95.11
2023-10-09,96.55,143.9,29.84,15.3,0.44,63.18,86.93
2023-10-10,119.65,178.32,57.91,2.0,1.78,70.54,126.99
2023-10-11,49.05,188.27,25.28,23.76,1.69,61.99,97.35
2023-10-12,133.33,118.56,33.03,2.0,0.81,82.38,94.96
2023-10-13,31.2,96.75,46.93,30.03,1.3,58.32,53.63
2023-10-14,76.21,76.55,51.75,11.7,0.97,25.66,54.71
2023-10-15,94.71,170.32,36.23,12.88,1.29,77.27,107.72
2023-10-16,87.02,105.87,31.04,8.72,1.95,37.9,99.24
2023-10-17,64.43,63.88,61.34,12.12,1.5,68.21,67.4
2023-10-18,74.8,165.54,66.08,29.19,1.45,81.47,95.44
2023-10-19,67.67,249.72,54.68,2.0,0.98,59.13,115.97
2023-10-20,65.27,149.76,41.28,27.77,0.46,20.08,74.22
2023-10-21,101.24,183.54,27.88,18.38,1.1,31.64,100.98
2023-10-22,88.93,153.27,27.54,2.93,1.8,76.45,86.72
2023-10-23,62.68,146.04,47.84,4.25,0.44,46.62,77.42
2023-10-24,102.49,186.76,46.28,31.76,0.67,51.59,89.74
2023-10-25,87.68,138.39,61.02,5.54,1.26,65.18,80.2
2023-10-26,100.32,160.7,49.76,3.47,0.71,63.93,90.61
2023-10-27,95.74,162.87,17.45,26.37,0.8,55.58,84.45
2023-10-28,59.28,123.28,55.78,18.39,0.99,45.83,69.4
2023-10-29,66.0,189.68,25.03,5.62,0.52,43.75,64.44
2023-10-30,98.68,143.0,34.24,17.17,0.71,67.16,99.15
2023-10-31,95.26,119.77,43.75,4.74,1.55,61.07,102.62
2023-11-01,79.48,171.46,69.94,26.01,0.55,44.85,67.09
2023-11-02,82.93,114.06,86.65,25.61,0.4,71.64,90.47
2023-11-03,111.94,151.13,49.1,20.32,0.88,47.42,88.79
2023-11-04,65.21,149.64,37.25,18.62,1.57,32.97,89.84
2023-11-05,93.68,193.44,48.02,32.61,1.1,34.82,98.14
2023-11-06,74.95,168.99,53.31,15.0,0.97,30.43,84.39
2023-11-07,74.56,149.0,35.19,3.18,1.22,44.55,80.35
2023-11-08,107.47,182.71,66.93,19.49,0.33,74.67,113.79
2023-11-09,100.64,205.61,43.45,35.86,1.45,33.9,94.68
2023-11-10,100.34,172.31,47.47,4.85,1.39,53.77,107.65
2023-11-11,112.64,150.41,49.99,11.39,1.0,36.87,107.2
2023-11-12,80.53,97.53,46.32,19.16,1.7,44.79,88.22
2023-11-13,97.05,107.4,52.58,14.46,0.64,19.8,98.86
2023-11-14,72.24,137.79,30.74,5.18,1.76,45.59,78.98
2023-11-15,88.1,125.62,31.63,26.22,1.28,46.13,94.1
2023-11-16,76.75,142.52,23.5,38.2,1.03,60.81,81.84
2023-11-17,82.42,152.27,46.59,16.96,1.19,54.47,101.34
2023-11-18,94.88,171.19,51.68,5.96,1.15,26.03,92.95
2023-11-19,59.54,147.18,46.87,2.0,1.81,71.68,83.02
2023-11-20,132.31,169.46,65.12,17.58,0.66,54.21,122.01
2023-11-21,54.85,152.58,39.92,26.04,0.82,53.97,69.12
2023-11-22,49.65,70.98,50.03,19.75,1.72,49.82,50.57
2023-11-23,108.95,112.43,23.62,14.98,0.9,39.64,78.98
2023-11-24,99.79,144.24,34.19,9.11,1.65,54.36,103.49
2023-11-25,95.6,101.61,50.43,4.08,2.05,59.51,107.16
2023-11-26,95.71,174.0,52.74,23.35,1.0,15.06,92.89
2023-11-27,79.69,211.23,35.59,24.14,1.54,39.22,113.36
2023-11-28,57.57,198.75,38.93,2.0,0.62,44.9,66.16
2023-11-29,81.9,141.46,17.23,30.9,1.58,55.12,83.93
2023-11-30,63.07,209.63,34.64,20.74,1.3,73.87,92.85
2023-12-01,104.38,155.95,53.36,29.0,1.44,34.57,98.13
2023-12-02,76.32,136.52,48.63,2.0,0.88,40.04,78.41
2023-12-03,59.36,125.46,47.51,2.0,0.37,39.75,70.25
2023-12-04,71.97,137.9,40.75,13.51,1.45,33.97,76.28
2023-12-05,90.32,134.47,40.11,20.03,0.2,43.06,77.88
2023-12-06,65.91,156.82,30.1,32.96,1.04,65.42,82.16
2023-12-07,59.44,156.42,50.48,22.06,1.67,28.92,73.0
2023-12-08,86.09,150.12,46.31,12.57,1.3,58.56,90.33
2023-12-09,86.12,167.48,47.38,4.74,2.17,15.96,95.62
2023-12-10,67.33,197.63,32.11,27.3,1.71,38.77,92.32
2023-12-11,68.22,187.98,7.7,5.35,0.87,43.41,81.48
2023-12-12,85.8,90.6,56.46,31.28,1.21,83.5,85.07
2023-12-13,43.8,47.84,32.82,12.16,1.18,44.5,45.09
2023-12-14,44.81,187.37,27.06,30.91,0.41,10.0,77.97
2023-12-15,62.04,95.32,50.4,21.79,0.73,10.02,47.12
2023-12-16,74.66,141.01,34.12,13.63,0.92,50.68,71.75
2023-12-17,87.77,103.2,55.9,9.81,0.2,62.28,100.97
2023-12-18,116.88,77.92,49.26,11.59,1.22,57.51,78.33
2023-12-19,101.44,171.66,50.25,19.28,1.08,53.35,86.12
2023-12-20,76.0,180.37,19.51,15.77,0.36,73.25,91.18
2023-12-21,79.52,126.94,58.18,9.06,1.4,39.21,62.6
2023-12-22,54.94,46.36,43.92,13.34,1.56,67.9,59.72
2023-12-23,79.54,128.15,34.46,15.79,1.31,17.36,98.88
2023-12-24,72.78,165.67,42.15,2.0,1.04,31.9,66.28
2023-12-25,88.07,90.84,13.36,19.58,1.5,13.86,52.93
2023-12-26,59.32,157.33,46.13,5.2,1.54,44.5,67.15
2023-12-27,92.98,149.39,24.56,3.47,1.35,49.07,99.58
2023-12-28,118.32,173.17,19.71,2.0,0.79,52.28,111.0
2023-12-29,77.28,154.78,17.16,2.0,1.34,51.24,79.63
2023-12-30,90.04,111.08,56.69,2.0,1.8,31.45,93.53
2023-12-31,97.25,197.86,30.56,7.91,0.9,46.2,111.77
2024-01-01,69.97,143.66,63.01,34.53,2.25,20.05,108.12
2024-01-02,85.6,148.91,31.96,9.74,0.94,77.26,86.2
2024-01-03,80.31,112.67,14.39,16.78,1.22,43.93,52.67
2024-01-04,82.44,132.27,23.25,19.0,0.86,40.22,69.17
2024-01-05,60.67,114.61,58.54,16.31,1.31,81.78,74.98
2024-01-06,80.61,143.08,37.66,14.23,0.33,25.16,69.81
2024-01-07,92.45,218.47,31.78,3.05,0.93,27.49,95.52
2024-01-08,116.28,95.12,42.4,29.51,0.65,28.08,93.19
2024-01-09,103.98,85.46,47.53,33.07,1.27,48.64,97.81
2024-01-10,133.83,208.85,56.76,2.0,1.7,58.63,125.13
2024-01-11,60.82,141.63,61.73,4.76,1.52,64.79,95.0
2024-01-12,101.81,123.24,34.6,12.2,0.2,101.44,90.23
2024-01-13,84.58,191.6,20.11,5.35,2.22,10.0,98.79
2024-01-14,134.75,125.78,33.8,20.06,1.35,62.17,115.3
2024-01-15,59.79,223.04,43.9,7.72,0.81,38.86,87.97
2024-01-16,59.01,177.12,25.54,36.65,1.28,38.27,102.52
2024-01-17,65.02,130.48,25.64,26.91,1.29,37.6,60.15
2024-01-18,26.9,236.29,45.16,17.13,0.87,31.82,71.68
2024-01-19,66.86,125.77,39.27,25.27,1.3,83.69,81.37
2024-01-20,61.02,179.68,40.49,26.06,0.9,66.85,89.08
2024-01-21,83.76,161.97,28.62,9.36,1.0,50.46,99.46
2024-01-22,88.54,202.07,36.54,6.84,0.86,77.02,99.71
2024-01-23,126.9,212.46,26.14,15.78,0.48,19.75,90.23
2024-01-24,103.76,151.28,53.35,23.62,1.27,23.39,102.94
2024-01-25,65.58,119.86,55.53,16.39,1.49,10.0,80.55
2024-01-26,57.54,168.4,12.31,2.0,1.46,36.01,58.58
2024-01-27,92.3,122.89,26.06,6.97,1.61,53.23,88.5
2024-01-28,46.99,230.54,17.55,14.26,1.36,52.06,72.9
2024-01-29,125.79,155.46,30.25,14.24,0.93,52.99,95.78
2024-01-30,109.49,135.39,38.75,34.73,1.62,21.78,86.92
2024-01-31,68.27,157.39,18.26,2.0,0.52,66.06,83.93
2024-02-01,37.17,96.11,26.17,20.06,0.75,54.79,54.6
2024-02-02,113.85,111.14,24.94,29.89,0.72,64.66,75.78
